Mes;Empresa;Tipo de servicio;Tipo de producto;Trayecto;Precio (€)
2022-11;Iryo;Comercial;LD AV;Madrid-Barcelona;45,73
2022-11;OUIGO;Comercial;LD AV;Madrid-Barcelona;40,85
2022-11;OUIGO;Comercial;LD AV;Madrid-Valencia;25,08
2022-11;Renfe-AVE;Comercial;LD AV;Madrid-Alicante;48,73
2022-11;Renfe-AVE;Comercial;LD AV;Madrid-Barcelona;78,78
2022-11;Renfe-AVE;Comercial;LD AV;Madrid-Málaga;67,77
2022-11;Renfe-AVE;Comercial;LD AV;Madrid-Sevilla;66,82
2022-11;Renfe-AVE;Comercial;LD AV;Madrid-Valencia;55,16
2022-11;Renfe-AVLO;Comercial;LD AV;Madrid-Barcelona;49,31
2022-11;Renfe-AVLO;Comercial;LD AV;Madrid-Valencia;30,23
2022-11;Total;Comercial;LD AV;Madrid-Alicante;48,73
2022-11;Total;Comercial;LD AV;Madrid-Barcelona;66,39
2022-11;Total;Comercial;LD AV;Madrid-Málaga;67,77
2022-11;Total;Comercial;LD AV;Madrid-Sevilla;66,82
2022-11;Total;Comercial;LD AV;Madrid-Valencia;42,94
2022-12;Iryo;Comercial;LD AV;Madrid-Barcelona;46,94
2022-12;Iryo;Comercial;LD AV;Madrid-Valencia;25,84
2022-12;OUIGO;Comercial;LD AV;Madrid-Barcelona;46,24
2022-12;OUIGO;Comercial;LD AV;Madrid-Valencia;23,1
2022-12;Renfe-AVE;Comercial;LD AV;Madrid-Alicante;54,36
2022-12;Renfe-AVE;Comercial;LD AV;Madrid-Barcelona;80,63
2022-12;Renfe-AVE;Comercial;LD AV;Madrid-Málaga;73,07
2022-12;Renfe-AVE;Comercial;LD AV;Madrid-Sevilla;70,31
2022-12;Renfe-AVE;Comercial;LD AV;Madrid-Valencia;49,78
2022-12;Renfe-AVLO;Comercial;LD AV;Madrid-Barcelona;53,96
2022-12;Renfe-AVLO;Comercial;LD AV;Madrid-Valencia;26,83
2022-12;Total;Comercial;LD AV;Madrid-Alicante;54,36
2022-12;Total;Comercial;LD AV;Madrid-Barcelona;64,17
2022-12;Total;Comercial;LD AV;Madrid-Málaga;73,07
2022-12;Total;Comercial;LD AV;Madrid-Sevilla;70,31
2022-12;Total;Comercial;LD AV;Madrid-Valencia;38,08
2023-01;Iryo;Comercial;LD AV;Madrid-Barcelona;30,52
2023-01;Iryo;Comercial;LD AV;Madrid-Valencia;20,77
2023-01;OUIGO;Comercial;LD AV;Madrid-Barcelona;30,49
2023-01;OUIGO;Comercial;LD AV;Madrid-Valencia;20,59
2023-01;Renfe-AVE;Comercial;LD AV;Madrid-Alicante;46,92
2023-01;Renfe-AVE;Comercial;LD AV;Madrid-Barcelona;64,56
2023-01;Renfe-AVE;Comercial;LD AV;Madrid-Málaga;57,67
